id,kind,title,vibe,palette,control_a,control_b,control_c,intensity,prompt,tags,license,source_title,source_url
svg-tattoo-001,tattoo,Chrome Heart Needle,clean tattoo-flash heart with tool detail,monoStencil,mythic,forearm,crest,8,Turn a tattoo-heart and needle-machine idea into a sharp forearm crest with tiny chrome highlights,"svgrepo,tattoo heart,tattoo machine,forearm",SVGrepo tattoo listing; preview generated locally,Tattoo Heart SVG Icon,https://www.svgrepo.com/vectors/tattoo/
svg-tattoo-002,tattoo,Signal Machine,compact coil-machine badge,citrusCircuit,geometric,shoulder,band,7,Use tattoo-machine structure as a shoulder badge with coiled geometry and small spark marks,"svgrepo,tattoo machine,geometric,shoulder",SVGrepo tattoo listing; preview generated locally,Tattoo Machine SVG Icon,https://www.svgrepo.com/vectors/tattoo/
svg-tattoo-003,tattoo,Half-Star Orbit,celestial ankle mark with offset star stroke,auroraInk,celestial,ankle,crescent,6,Build a crescent ankle tattoo around a half-stroked star and orbit dots,"svgrepo,star half stroke,ankle,celestial",SVGrepo tattoo listing; preview generated locally,Star Half Stroke SVG Icon,https://www.svgrepo.com/vectors/tattoo/
svg-tattoo-004,tattoo,Swan Heart Drift,romantic mirrored bird heart,velvetSignal,mythic,sternum,crest,7,Remix swan-love-heart energy into a sternum crest with mirrored wings and soft line rhythm,"svgrepo,swan love heart,sternum,wings",SVGrepo tattoo listing; preview generated locally,Swan Love Heart SVG Icon,https://www.svgrepo.com/vectors/tattoo/
svg-tattoo-005,tattoo,Angel Wing Locket,protective winged heart linework,monoStencil,mythic,spine,vertical,8,Create a spine tattoo from angel wings and a heart locket using clean black linework,"svgrepo,angel wings heart,spine,heart",SVGrepo tattoo listing; preview generated locally,Angel Wings Heart SVG Icon,https://www.svgrepo.com/vectors/tattoo/
svg-tattoo-006,tattoo,Twin Diamond Oath,faceted minimal diamond pair,mossFlame,geometric,forearm,vertical,5,Stack double-diamond outlines into a narrow forearm tattoo with small oath marks,"svgrepo,double diamond outline,geometric,forearm",SVGrepo tattoo listing; preview generated locally,Double Diamond Outline SVG Icon,https://www.svgrepo.com/vectors/tattoo/
svg-tattoo-007,tattoo,Marker Scratch Sigil,hand-drawn street flash mark,citrusCircuit,geometric,shoulder,band,8,Turn marker and brush-mark energy into a bold shoulder flash tattoo with scratchy accent lines,"svgrepo,marker,brush mark,street",SVGrepo tattoo listing; preview generated locally,Marker SVG Icon,https://www.svgrepo.com/vectors/tattoo/
svg-tattoo-008,tattoo,Star Mark Relic,small protective star charm,auroraInk,celestial,ankle,crescent,5,Build a charm-like ankle design from star-mark geometry with tiny protective dots,"svgrepo,star mark,ankle,charm",SVGrepo tattoo listing; preview generated locally,Star Mark SVG Icon,https://www.svgrepo.com/vectors/tattoo/
svg-tattoo-009,tattoo,Heart Mark Triptych,three-part love symbol,velvetSignal,botanical,forearm,vertical,7,Turn heart-mark shapes into a three-part forearm tattoo with petal-like negative space,"svgrepo,heart mark,forearm,love",SVGrepo tattoo listing; preview generated locally,Heart Mark 3 SVG Icon,https://www.svgrepo.com/vectors/tattoo/
svg-tattoo-010,tattoo,Female Venus Bloom,symbolic floral Venus mark,mossFlame,botanical,shoulder,crest,6,Blend a female-symbol mark with botanical arcs for a soft shoulder crest,"svgrepo,female mark,botanical,venus",SVGrepo tattoo listing; preview generated locally,Female Mark SVG Icon,https://www.svgrepo.com/vectors/tattoo/
